"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:23 GMT 2024","20550","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-manager pod Should restart nsm-manager pod",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:07 GMT 2024","4444","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Check ping between iperf-server and iperf-client after mesh-dns pod restart",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:07 GMT 2024","4265","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with LOW QOS should have vl3 router running",""
"skipped","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Verify Connectivity between iperf-server and iperf-client",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","762","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Slice is created with onboarded application namespaces Should have slices on workers",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","4","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster to a slice  when Deattach cluster from slice  should have gateway pod deleted from deattached cluster",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:31 GMT 2024","28463","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace onboard Should mutate pods with labels and annotations with nsm sidecars injected",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","136","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for slice config creation and deletion Events get recorded for slice config deletion Validating events for secrets deletion",""
"passed","Tue Apr 16 07:55:13 GMT 2024","Tue Apr 16 07:55:13 GMT 2024","123","","SliceHealth Suite","","SliceHealth Suite","","[It] Testing Slice Health feature >  Verify various properties of SliceHealth object in worker slice config spec >  Should have overall slice health status Normal in workersliceconfig CR",""
"skipped","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] Test Slice Gateway Service config >  gatewayServiceType: LB >  verify l3 traffic",""
